row_id,product_id,category_id,factor_a_ratio,factor_b_ratio,factor_c_ratio,hydration_ratio,stickiness_score_0_10,oiliness_score_0_10,consistency_index,data_origin,is_empirical_ground_truth
wardah-lightening-day-cream-000,wardah-lightening-day-cream,moisturizing_cream,0.4,0.5333333333333333,0.44000000000000006,1.2087600000000003,3.3484,3.0816666666666666,19220.266666666666,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-001,wardah-lightening-day-cream,moisturizing_cream,0.8964866084680073,0.9361648416154447,0.942099754556192,1.6512921804266039,5.36048663514529,4.997192942155772,35048.88772517106,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-002,wardah-lightening-day-cream,moisturizing_cream,0.9243523977071534,0.2901963098113479,0.931639974160175,1.25202968574164,3.7216211121727625,3.051438950363612,33385.68756079749,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-003,wardah-lightening-day-cream,moisturizing_cream,0.1657147761429199,0.16027657677127108,0.8924977181564508,1.0544806625010072,2.893539870090388,2.3483876605786818,26420.94671326261,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-004,wardah-lightening-day-cream,moisturizing_cream,0.5319351029707728,0.17066502469718853,0.7579258602693391,1.0951193173101819,3.007355531191473,2.480286350551798,26341.750141608467,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-005,wardah-lightening-day-cream,moisturizing_cream,0.332352058572492,0.07875605110459236,0.25868821868245995,0.8999986866469353,2.1040393436665363,1.710087228708671,13803.117103256473,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-006,wardah-lightening-day-cream,moisturizing_cream,0.9241001067375404,0.1059909588555199,0.8816907678393581,1.1268147954086498,3.1829761776339134,2.5251506306537594,31770.24711253389,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-007,wardah-lightening-day-cream,moisturizing_cream,0.5566021621796499,0.5180672609189886,0.07944752396681477,1.1439922604362252,2.8545356216779862,2.8332121382125037,11819.511697246251,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-008,wardah-lightening-day-cream,moisturizing_cream,0.9589798632971172,0.3326837174961342,0.7781024475493977,1.2563537754086374,3.7102355756139582,3.115040625336024,29989.57626556351,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-009,wardah-lightening-day-cream,moisturizing_cream,0.24753506195941397,0.2194850985800363,0.08670203665589321,0.9383442211478487,2.1092802145187317,1.906867501006608,9965.802067785182,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-010,wardah-lightening-day-cream,moisturizing_cream,0.36421092514760983,0.8207405830352584,0.514425023753993,1.3833986208990845,4.130464094441346,3.8927508557938193,21459.62711385195,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-011,wardah-lightening-day-cream,moisturizing_cream,0.4156462739114202,0.4557558892974266,0.3662408765856461,1.1428950775512245,3.046299814195453,2.8090920296269815,17485.31945564763,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-012,wardah-lightening-day-cream,moisturizing_cream,0.37390439521065016,0.4083910094779142,0.10844718283694388,1.0618560648422637,2.591660442505148,2.477929910644548,11466.945604365057,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-013,wardah-lightening-day-cream,moisturizing_cream,0.5660292435659842,0.10533610729491336,0.777875906596119,1.0523830329046917,2.872832017457288,2.340646593236145,26643.88460295948,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-014,wardah-lightening-day-cream,moisturizing_cream,0.9072578213158421,0.47057638588695566,0.30477520534218566,1.2293671973173232,3.3415907477963107,3.1235402622299215,18788.842929124086,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-015,wardah-lightening-day-cream,moisturizing_cream,0.485617534635109,0.3995627642534407,0.15606645381520184,1.0805574240496834,2.7471854770684994,2.5721803986497367,13052.606922178918,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-016,wardah-lightening-day-cream,moisturizing_cream,0.7939105641259794,0.4221589632837102,0.9119910747864977,1.3090998204748798,3.9572296033329395,3.4124432421711277,32331.328802441778,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-017,wardah-lightening-day-cream,moisturizing_cream,0.254534042633657,0.2964970889516958,0.4599539381418154,1.0539412756066728,2.75056992772755,2.385924703124282,18278.10080678585,SYNTHETIC_PROTOTYPE_DATA,False
wardah-lightening-day-cream-018,wardah-lightening-day-cream,moisturizing_cream,0.861733145064215,0.07849344374040859,0.7000479388028003,1.0824858922145155,2.878726600969092,2.328308149372717,26886.12629524562,SYNTHETIC_PROTOTYPE_DATA,False
