row_id,study_id,product_system,data_origin,is_empirical_ground_truth,generation_method,source_doi,source_url,validation_role,critical_note,phytantriol_pct,soy_lecithin_pct,cct_pct,hydration_ratio,stickiness_score_0_10,oiliness_score_0_10,consistency_index
MERC_SYN_001,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,0.9261237879809466,1.801198034544484,3.670634506053651,1.5187827094341941,3.115438056580939,2.8761197599189967,27286.802138372735
MERC_SYN_002,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,1.1348708172357376,1.6306082773414947,3.855241875686521,1.5081447321750157,2.9177084887426297,2.765340653307406,27207.549664579958
MERC_SYN_003,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,2.6982724170470265,2.2415758081287542,2.0517872130966257,1.546244667394909,3.5134596538964744,3.2275084401818743,29440.20666455293
MERC_SYN_004,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,2.3145020894114663,1.690817168752217,3.448458273978652,1.5118993586433882,3.109798093191105,2.9596442485407537,28292.393994396443
MERC_SYN_005,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,0.25540842496194577,2.2111654404483474,1.0319646029101237,1.544348276866359,4.207987503269626,3.271870203496814,27334.712787272514
MERC_SYN_006,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,2.7215081942031945,1.5084928198569605,4.984908433817103,1.5005296122462801,3.0847630593379654,3.1625760693612315,28362.766365053696
MERC_SYN_007,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,1.4404364525783855,1.475505643895263,1.9407898434365314,1.4984725319533085,3.0711263283987993,2.6557049902023158,27233.117058478732
MERC_SYN_008,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,0.16084761366182604,2.1179693893100597,3.7588447436420958,1.5385365711173753,3.8374683369356837,3.3683785423254995,27115.508023136754
MERC_SYN_009,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,0.24410251056583115,2.465989317947337,4.066419990286716,1.560239093867196,3.887418834737835,3.193830717826257,27706.51432507407
MERC_SYN_010,MERCURIO_2020_P2,Topical cosmetic emulsion,MODEL_GENERATED_PUBLISHED_EQUATION,False,LATIN_HYPERCUBE_WITHIN_PUBLISHED_FACTOR_RANGE,10.1590/S2175-97902020000318502,https://www.scielo.br/j/bjps/a/MxDgqHGqq43Rn4VMDgcRqyw/?format=pdf&lang=en,NOT_INDEPENDENT_VALIDATION,Synthetic interpolation from author-published response equations; NOT a new lab measurement.,0.4956787466152639,0.46082035887410144,1.8111245028559195,1.435196757579389,2.2771660735363777,1.9649395994323524,24917.99167077223
